Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_frequency,param_rsiFrequency,param_buyZoneDistance,param_avgDownATRSum,param_useAbsoluteRSIBarrier,param_barrierLevel,param_pyramiding
1000PEPEUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-24.075675553015984,2,0.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,19,48,8,1,True,56,4
1000PEPEUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,2.976522019626815,4,100.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,39,54,11,1,True,40,5
1000PEPEUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.048442287512021,10,70.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,39,50,7,4,False,50,4
1000PEPEUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,2.7232499326151904,8,87.5,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,31,52,8,1,False,34,5
1000PEPEUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,6.846687473383994,12,83.33333333333334,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,39,52,7,1,True,40,5
1000PEPEUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,4.8847388984312845,16,81.25,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,21,38,6,1,True,42,5
1000PEPEUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.7515204160731814,4,50.0,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,37,54,10,3,True,44,3
1000PEPEUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,43.6644041287197,21,95.23809523809523,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,24,22,9,1,False,32,3
1000PEPEUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.130881125041632,18,72.22222222222221,reports_walkforward/returns_1000PEPEUSDT_30min.pkl,16,36,6,1,True,36,3
1000PEPEUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-1.275798509692394,3,33.33333333333333,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,39,36,8,6,True,54,2
1000PEPEUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-10.121065160508047,3,0.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,39,42,5,1,False,38,3
1000PEPEUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,3.331723984357149,7,71.42857142857143,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,33,20,1,1,True,54,4
1000PEPEUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.513603167336397,6,83.33333333333334,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,31,36,2,7,True,54,5
1000PEPEUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,26.50243162132724,3,100.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,31,52,9,8,True,46,2
1000PEPEUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-10.30058485378399,1,0.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,31,28,9,1,True,66,2
1000PEPEUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-0.40443242831479376,4,50.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,15,20,1,1,True,66,4
1000PEPEUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.391423930923191,2,0.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,15,32,4,1,True,62,2
1000PEPEUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.179320856961999,2,50.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,39,30,8,1,True,64,3
1000PEPEUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,9.321656469869621,4,75.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,15,24,6,2,True,64,2
1000PEPEUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.623386127042784,4,50.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,39,48,8,1,True,54,3
1000PEPEUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-4.848279647616782,5,60.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,15,34,4,2,True,50,3
1000PEPEUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.8370697276415706,6,66.66666666666666,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,29,26,6,11,True,52,3
1000PEPEUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,23.235003251985198,4,100.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,31,48,5,1,True,52,5
1000PEPEUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,7.497617053152017,6,83.33333333333334,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,31,46,6,1,True,52,4
1000PEPEUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-14.987754381129637,9,22.22222222222222,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,15,34,5,10,False,64,2
1000PEPEUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.9984162893271975,6,83.33333333333334,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,29,22,11,1,False,50,5
1000PEPEUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,4.782342248829985,10,90.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,27,20,7,1,True,38,6
1000PEPEUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-0.7335003231340287,2,0.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,19,44,11,1,True,34,4
1000PEPEUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,3.7274391914692284,8,87.5,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,35,22,9,1,True,32,5
1000PEPEUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,7.088110283221605,7,100.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,29,30,6,1,False,26,4
1000PEPEUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,-0.9334281506796271,6,50.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,17,44,8,5,False,78,2
1000PEPEUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,29.28053327540279,23,86.95652173913044,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,8,20,4,1,True,28,3
1000PEPEUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,6.862368366366423,8,75.0,reports_walkforward/returns_1000PEPEUSDT_1H.pkl,30,34,5,1,False,52,2
KASUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,11.871427070159735,48,89.58333333333334,reports_walkforward/returns_KASUSDT_15min.pkl,36,12,4,1,True,56,5
KASUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-4.4554351947200255,4,50.0,reports_walkforward/returns_KASUSDT_15min.pkl,8,28,11,11,True,64,3
KASUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,5.1754673160800735,37,75.67567567567568,reports_walkforward/returns_KASUSDT_15min.pkl,18,20,11,2,False,56,3
KASUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,10.485852039440125,34,82.35294117647058,reports_walkforward/returns_KASUSDT_15min.pkl,14,62,4,2,True,36,3
KASUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,12.143455876679887,36,72.22222222222221,reports_walkforward/returns_KASUSDT_15min.pkl,14,34,8,2,True,44,3
KASUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,7.805175939960041,35,80.0,reports_walkforward/returns_KASUSDT_15min.pkl,14,46,4,1,True,48,3
KASUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.91497620007992,39,64.1025641025641,reports_walkforward/returns_KASUSDT_15min.pkl,14,30,7,2,False,42,3
KASUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-4.696610596760076,46,82.6086956521739,reports_walkforward/returns_KASUSDT_15min.pkl,28,68,2,2,False,70,4
KASUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,2.159157996200012,9,66.66666666666666,reports_walkforward/returns_KASUSDT_15min.pkl,4,60,5,7,True,48,3
KASUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.7572451636000297,8,75.0,reports_walkforward/returns_KASUSDT_15min.pkl,36,46,11,1,True,52,5
KASUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,5.819113825919997,31,96.7741935483871,reports_walkforward/returns_KASUSDT_15min.pkl,24,32,8,1,True,44,6
KASUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,2.191497238719964,3,66.66666666666666,reports_walkforward/returns_KASUSDT_15min.pkl,36,38,4,3,True,66,5
KASUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,9.126019776599836,59,93.22033898305084,reports_walkforward/returns_KASUSDT_15min.pkl,16,14,5,1,True,58,7
KASUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,5.94590526119998,3,66.66666666666666,reports_walkforward/returns_KASUSDT_15min.pkl,32,50,9,10,True,62,3
KASUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,5.331382593080014,4,75.0,reports_walkforward/returns_KASUSDT_15min.pkl,10,58,1,8,True,64,3
KASUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-4.544630410520078,27,70.37037037037037,reports_walkforward/returns_KASUSDT_15min.pkl,10,6,9,1,True,76,3
KASUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,-0.9181232111199589,34,64.70588235294117,reports_walkforward/returns_KASUSDT_15min.pkl,26,66,2,5,False,36,3
KASUSDT,15min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,-2.1908922094799,40,55.00000000000001,reports_walkforward/returns_KASUSDT_15min.pkl,22,28,5,5,True,42,4
KASUSDT,15min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.6366272167199982,26,69.23076923076923,reports_walkforward/returns_KASUSDT_15min.pkl,38,42,4,1,True,32,5
KASUSDT,15min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.8604430297599737,24,66.66666666666666,reports_walkforward/returns_KASUSDT_15min.pkl,20,34,11,1,False,28,3
KASUSDT,15min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,1.2968176326799474,27,85.18518518518519,reports_walkforward/returns_KASUSDT_15min.pkl,20,56,5,1,True,42,5
KASUSDT,15min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.1006153877600076,12,66.66666666666666,reports_walkforward/returns_KASUSDT_15min.pkl,8,68,6,8,True,42,2
KASUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,4.442995349520018,26,69.23076923076923,reports_walkforward/returns_KASUSDT_15min.pkl,12,62,5,8,False,48,3
KASUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,3.2426737437199593,21,71.42857142857143,reports_walkforward/returns_KASUSDT_15min.pkl,28,56,6,3,True,44,3
KASUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.9220863606000052,36,63.888888888888886,reports_walkforward/returns_KASUSDT_30min.pkl,8,14,10,1,False,78,2
KASUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,-1.1915654465199488,23,65.21739130434783,reports_walkforward/returns_KASUSDT_30min.pkl,26,72,1,3,False,78,3
KASUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,11.411108201520047,14,78.57142857142857,reports_walkforward/returns_KASUSDT_30min.pkl,36,38,6,1,True,44,3
KASUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.633985843840027,12,83.33333333333334,reports_walkforward/returns_KASUSDT_30min.pkl,32,30,4,1,True,56,5
KASUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,1.462120822680002,17,70.58823529411765,reports_walkforward/returns_KASUSDT_30min.pkl,34,34,6,1,False,36,3
KASUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,6.998460978040022,15,80.0,reports_walkforward/returns_KASUSDT_30min.pkl,32,22,8,1,True,50,4
KASUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.8890907585999557,27,85.18518518518519,reports_walkforward/returns_KASUSDT_30min.pkl,26,70,1,2,False,70,3
KASUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,1.7341043912399545,4,75.0,reports_walkforward/returns_KASUSDT_30min.pkl,22,56,8,2,True,50,3
KASUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-3.6946921606399896,11,45.45454545454545,reports_walkforward/returns_KASUSDT_30min.pkl,34,70,3,1,False,56,4
KASUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.9405115946800056,10,80.0,reports_walkforward/returns_KASUSDT_30min.pkl,32,74,3,3,True,48,3
KASUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,3.7468859201200466,9,88.88888888888889,reports_walkforward/returns_KASUSDT_30min.pkl,36,48,6,1,True,42,4
KASUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.504791525800057,19,68.42105263157895,reports_walkforward/returns_KASUSDT_30min.pkl,36,48,4,3,False,48,3
KASUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,10.560820875000033,14,85.71428571428571,reports_walkforward/returns_KASUSDT_30min.pkl,38,40,5,6,True,34,2
KASUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-0.153251157120049,18,66.66666666666666,reports_walkforward/returns_KASUSDT_30min.pkl,36,52,2,3,False,72,3
KASUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.097355766679975,10,90.0,reports_walkforward/returns_KASUSDT_30min.pkl,36,60,4,1,False,62,4
KASUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.18068302300006112,15,73.33333333333333,reports_walkforward/returns_KASUSDT_30min.pkl,38,50,4,1,False,24,3
KASUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.8750909534400275,8,87.5,reports_walkforward/returns_KASUSDT_30min.pkl,38,64,6,1,False,48,3
KASUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,0.7855984482000089,6,66.66666666666666,reports_walkforward/returns_KASUSDT_30min.pkl,34,76,7,1,False,28,3
KASUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,-1.545724038360008,6,33.33333333333333,reports_walkforward/returns_KASUSDT_30min.pkl,34,48,10,6,False,40,2
KASUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-2.2289202552000065,6,50.0,reports_walkforward/returns_KASUSDT_30min.pkl,34,68,7,1,True,38,4
KASUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.33257082479998257,22,59.09090909090909,reports_walkforward/returns_KASUSDT_30min.pkl,10,40,5,2,False,38,2
KASUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,4.165599391959995,6,100.0,reports_walkforward/returns_KASUSDT_30min.pkl,34,76,7,1,True,30,5
KASUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,1.0188048379599746,9,66.66666666666666,reports_walkforward/returns_KASUSDT_30min.pkl,30,68,5,5,True,44,4
KASUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-0.1251378983600282,13,53.84615384615385,reports_walkforward/returns_KASUSDT_30min.pkl,38,18,10,8,True,50,2
